"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00155KEIX","上海交通大学医学院附属新华医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","控江路1665号(江浦路地铁站2号口步行50米)","121.517681","31.27313","121.51330934782985","31.275182380581935","021-25078999","上海市","上海市","杨浦区"
"B00156CNXO","上海长海医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","长海路168号","121.528046","31.308496","121.52370646931705","31.310563047100775","021-31166666","上海市","上海市","杨浦区"
"B0015393A6","第二军医大学东方肝胆外科医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","长海路225号","121.530087","31.310112","121.52575396041904","31.312183863153322","021-65561443;021-65564166","上海市","上海市","杨浦区"
"B00155KNMH","上海市东方医院本部","医疗保健服务;综合医院;三级甲等医院","090101","[]","即墨路150号","121.512287","31.237613","121.50789935038513","31.239665242253924","021-38804518","上海市","上海市","浦东新区"
"B00150EA32","上海长征医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","凤阳路415号","121.467565","31.232211","121.4630223054904","31.234136138536872","021-63586818;021-81886999","上海市","上海市","黄浦区"
"B00155KT4W","复旦大学附属华山医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","乌鲁木齐中路12号","121.442932","31.216111","121.43832580881427","31.217989382041885","021-52889999","上海市","上海市","静安区"
"B00155EI82","上海交通大学医学院附属仁济医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","浦建路160号","121.522361","31.206991","121.51801103473655","31.20908662720559","[]","上海市","上海市","浦东新区"
"B00155KBTT","上海市第一人民医院北部","医疗保健服务;综合医院;三级甲等医院","090101","[]","武进路85号","121.489424","31.253392","121.48495280765337","31.255368833827998","021-63240090","上海市","上海市","虹口区"
"B001558EIN","上海市中医医院芷江中路院区","医疗保健服务;综合医院;三级甲等医院","090101","[]","芷江中路274号","121.471695","31.2592","121.46716298166922","31.26112392166989","021-56639828","上海市","上海市","静安区"
"B00155L9T9","上海交通大学医学院附属瑞金医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","瑞金二路197号","121.467617","31.211761","121.46307622643546","31.213695876931734","[]","上海市","上海市","黄浦区"
"B00155L1WO","上海交通大学医学院附属仁济医院西院","医疗保健服务;综合医院;三级甲等医院","090101","[]","山东中路145号(南京东路地铁站3号口步行440米)","121.484131","31.233522","121.47964289278731","31.235492246599062","[]","上海市","上海市","黄浦区"
"B00155KIAT","上海中医药大学附属曙光医院(西院)","医疗保健服务;综合医院;三级甲等医院","090101","[]","普安路185号","121.479292","31.222844","121.47478818676298","31.224805322660753","021-5382165000","上海市","上海市","黄浦区"
"B001556X1H","复旦大学附属中山医院西院区","医疗保健服务;综合医院;三级甲等医院","090101","[]","枫林路180号","121.453841","31.197755","121.44926214839379","31.199663786894998","021-64041990","上海市","上海市","徐汇区"
"B0FFFF6XRV","上海市中医医院膏方科","医疗保健服务;综合医院;三级甲等医院","090101","[]","芷江中路274号上海中医药大学附属市中医医院","121.471501","31.259366","121.46696834577185","31.261289329906415","021-56639828","上海市","上海市","静安区"
"B0FFFF6XRQ","上海中医院膏方咨询室","医疗保健服务;综合医院;三级甲等医院","090101","[]","芷江中路274号","121.471501","31.259376","121.46696834491105","31.261299325559293","021-56639828","上海市","上海市","静安区"
"B001556X1G","复旦大学附属华山医院(浦东院区)","医疗保健服务;综合医院;三级甲等医院","090101","[]","红枫路525号","121.596174","31.240072","121.59197149376777","31.242270074409177","021-50301999;021-52832829","上海市","上海市","浦东新区"
"B00155IVBR","上海市第六人民医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","宜山路600号","121.422376","31.178477","121.41774001436829","31.18034625232206","021-64369181","上海市","上海市","徐汇区"
"B00155E7IJ","上海市肺科医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","政民路507号","121.502048","31.303207","121.49761797493044","31.30520093500888","021-65115006","上海市","上海市","杨浦区"
"B0FFF9ZBJZ","上海市儿童医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","泸定路355号","121.386483","31.226745","121.3818379982473","31.228587245305356","[]","上海市","上海市","普陀区"
"B001559A8T","上海市第十人民医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","延长中路301号","121.453561","31.272081","121.44897499218918","31.273955185317234","021-66300588;021-66303643","上海市","上海市","静安区"
"B00155KAOC","同济大学附属同济医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","新村路389号","121.431316","31.266805","121.42668407697299","31.268642678478457","021-56051080","上海市","上海市","普陀区"
"B0HRKSA8B9","上海东方医院沪东院区(建设中)","医疗保健服务;综合医院;三级甲等医院","090101","[]","北临博兴路、东临长岛路、西临浦东大道、南侧为马家浜","121.576840","31.271091","121.57261982177126","31.27326587168695","[]","上海市","上海市","浦东新区"
"B0FFFF6XRU","上海市中医医院中医针灸科","医疗保健服务;综合医院;三级甲等医院","090101","[]","芷江中路274号上海市中医医院","121.471494","31.259409","121.46696131966051","31.261332292482457","021-56639828","上海市","上海市","静安区"
"B00155L2FY","上海中医药大学附属第七人民医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","大同路358号","121.57818","31.342974","121.57395552069161","31.345122397086527","021-58670561;021-58611047","上海市","上海市","浦东新区"
