"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B001570L4J","东旺幼儿园","科教文化服务;学校;幼儿园","141204","[]","东旺路51号","121.878167","31.52515","121.87401287903022","31.52724792283212","[]","上海市","上海市","崇明区"
"B0FFKQ1P3B","崇明区裕鸿幼儿园","科教文化服务;学校;幼儿园","141204","[]","陈家镇裕洲路207号","121.852568","31.527499","121.84836386183848","31.529562536187903","021-39637302","上海市","上海市","崇明区"
"B0FFK6TW1H","裕安中心幼儿园(东园区)","科教文化服务;学校;幼儿园","141204","[]","陈家镇安通路200号","121.848698","31.521887","121.84448521987835","31.523944701589173","[]","上海市","上海市","崇明区"
"B00156NQ8O","中兴镇幼儿园北沿分部","科教文化服务;学校;幼儿园","141204","[]","北兴村兴西337","121.788365","31.565181","121.78400369621127","31.56712974812878","[]","上海市","上海市","崇明区"
"B001570KBP","上海市崇明区裕安幼儿园","科教文化服务;学校;幼儿园","141204","[]","陈家镇裕盛路3弄1号","121.839161","31.518903","121.83492494613985","31.52094407749506","021-39636963","上海市","上海市","崇明区"
"B0FFIAXGG8","上海市东滩思南路幼儿园","科教文化服务;学校;幼儿园","141204","[]","陈家镇国际生态实验区","121.81065","31.490014","121.80634389953732","31.49200648275696","[]","上海市","上海市","崇明区"
"B00156NQ1N","合兴幼儿园","科教文化服务;学校;幼儿园","141204","[]","合五公路4659","121.716213","31.592069","121.71181936840694","31.594011587496045","021-59456506","上海市","上海市","崇明区"
"B00156CLFD","陈家镇幼儿园","科教文化服务;学校;幼儿园","141204","[]","弘道中路73号","121.804036","31.495733","121.79971370652166","31.4977131971066","021-69430072","上海市","上海市","崇明区"
"B0FFHOO9AF","上海市崇明区汲浜幼儿园","科教文化服务;学校;幼儿园","141204","[]","中兴镇育林路15号","121.760807","31.527358","121.7564111387978","31.52928636992414","021-69444353","上海市","上海市","崇明区"
"B00156CLF6","新桥幼儿园(奚渔路)","科教文化服务;学校;幼儿园","141204","[]","陈家镇朝阳村12队890号","121.795723","31.478673","121.79138376238613","31.480642943178893","[]","上海市","上海市","崇明区"
"B001556QK1","崇明区登瀛幼儿园","科教文化服务;学校;幼儿园","141204","[]","合五公路1465号","121.678653","31.540761","121.67432376252721","31.542768351155974","021-59453223","上海市","上海市","崇明区"
"B0FFHF5E38","崇明区向化镇中心幼儿园","科教文化服务;学校;幼儿园","141204","[]","向化镇向中路87号","121.722203","31.520128","121.71780965348503","31.52206993965126","[]","上海市","上海市","崇明区"
"B00156EVNJ","横沙幼儿园","科教文化服务;学校;幼儿园","141204","[]","横沙乡锦霞路68号","121.844769","31.341353","121.84056176081181","31.343446838961118","021-56890170","上海市","上海市","崇明区"
"B00156EGVD","港沿幼儿园","科教文化服务;学校;幼儿园","141204","[]","港沿镇港沿公路1075号","121.653406","31.584499","121.64912151058677","31.586550522310812","021-59461247","上海市","上海市","崇明区"
