"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B0FFHRO39Z","上海市崇明区裕安中学安通路校区","科教文化服务;学校;中学","141202","[]","陈家镇安通路1169号","121.847609","31.528904","121.84339301664879","31.530958968834266","021-59400316","上海市","上海市","崇明区"
"B0FFHF5END","崇明区合兴中学","科教文化服务;学校;中学","141202","[]","合东村1341","121.715294","31.584988","121.71090199058443","31.58693201970511","[]","上海市","上海市","崇明区"
"B0FFHUC1G1","上海市实验学校附属东滩学校","科教文化服务;学校;中学","141202","[]","陈家镇雪雁路800号","121.807925","31.488978","121.80361241690024","31.49096589323909","021-59635999","上海市","上海市","崇明区"
"B00154D8PT","崇明区崇东中学","科教文化服务;学校;中学","141202","[]","陈家镇弘道中路77号","121.803918","31.497537","121.79959528118597","31.499516717000365","021-59431136","上海市","上海市","崇明区"
"B0FFHF5E2U","崇明区向化中学","科教文化服务;学校;中学","141202","[]","向化镇向中路110号","121.722778","31.521473","121.7183840463342","31.523414188810744","021-59441071","上海市","上海市","崇明区"
"B0FFG8CT8C","上海新纪元双语学校","科教文化服务;学校;中学","141202","[]","陈家镇陈西村1518号","121.784762","31.506607","121.7803991123088","31.508557582833145","021-59437525","上海市","上海市","崇明区"
"B0G16D136F","上海实验学校(东滩校区)","科教文化服务;学校;中学","141202","[]","陈家镇北陈公路雪雁路","121.807439","31.487811","121.80312535762309","31.489798251252704","[]","上海市","上海市","崇明区"
"B00155FHOI","大公中学","科教文化服务;学校;中学","141202","[]","育林路55","121.761639","31.529229","121.7572436632337","31.531157488666413","021-59441824","上海市","上海市","崇明区"
"B00155K03N","登瀛中学","科教文化服务;学校;中学","141202","[]","堡镇五滧村登瀛821号","121.68035","31.532392","121.67601821293775","31.534397039794715","021-59450428;021-59450102","上海市","上海市","崇明区"
"B0FFHFJR5F","上海市崇明区堡镇中学","科教文化服务;学校;中学","141202","[]","堡镇石岛路381号","121.620465","31.533365","121.61623086474354","31.53546714283843","021-59410099","上海市","上海市","崇明区"
"B001508407","民本中学","科教文化服务;学校;中学","141202","[]","向阳路216","121.613561","31.533873","121.60933164648456","31.53598059644981","021-59417010","上海市","上海市","崇明区"
"B00155K00L","上海市长明中学","科教文化服务;学校;中学","141202","[]","长兴镇潘圆公路1111号","121.737016","31.384816","121.7326257946366","31.386775361542405","021-33801727","上海市","上海市","崇明区"
"B00150840B","崇明区新光中学","科教文化服务;学校;中学","141202","[]","竖新镇响椿公路68号","121.601671","31.615576","121.59743804940831","31.61768367136423","021-59491825;021-62390431","上海市","上海市","崇明区"
"B00156OCO7","上海民办民一中学","科教文化服务;学校;中学","141202","[]","北堡镇解放街230号","121.632936","31.558085","121.6286862659446","31.56017059669799","021-39661923;021-39660504","上海市","上海市","崇明区"
