"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00156ECF7","上海国际时尚中心","购物服务;商场;购物中心","060101","[]","杨树浦路2866号","121.558345","31.270988","121.5540927261471","31.27313826962358","021-65698702","上海市","上海市","杨浦区"
"B0FFL1KXCS","奥特莱斯(杨树浦路)","购物服务;商场;购物中心","060101","[]","杨树浦路2866号上海国际时尚中心精品仓4号楼1层259","121.558581","31.270587","121.55432927194342","31.272737844034832","021-60708152","上海市","上海市","杨浦区"
"B0FFF4P3ME","百联滨江购物中心","购物服务;商场;购物中心","060101","[]","平凉路1399号","121.537687","31.264969","121.53338138783168","31.267078511028945","021-80259699;021-80259600","上海市","上海市","杨浦区"
"B0HKXCQHJ4","醉食汇农副产品购物中心","购物服务;商场;购物中心","060101","[]","靖宇东路210号(延吉中路地铁站3号口步行370米)","121.538447","31.290341","121.53414152689473","31.292441790604727","[]","上海市","上海市","杨浦区"
"B0HBKOTXCC","金桥国际商业广场","购物服务;商场;购物中心|购物服务;商场;普通商场|购物服务;特色商业街;特色商业街","060101|060102|061000","[]","张杨路3611号(金桥路地铁站3号口步行200米)","121.57947","31.255737","121.57525427758868","31.25792078084118","021-20233000;021-20233977","上海市","上海市","浦东新区"
"B0FFKBDQDY","LCM置汇旭辉广场","购物服务;商场;购物中心","060101","[]","张杨路2389弄4号","121.555292","31.242636","121.55103523276838","31.244793234561","021-63809999;021-68816777","上海市","上海市","浦东新区"
"B00155EK3N","九隆坊","购物服务;商场;购物中心","060101","[]","五角场黄兴路1737号","121.519113","31.290762","121.51474483221712","31.29281122240897","[]","上海市","上海市","杨浦区"
"B0FFFRXA3Z","久金广场","购物服务;商场;购物中心","060101","[]","张杨路3918号(金桥路地铁站2号口步行130米)","121.581524","31.255493","121.57731053721947","31.257678463706334","021-50838388;021-50191888","上海市","上海市","浦东新区"
"B00156O3L3","紫荆广场(江浦路)","购物服务;商场;购物中心","060101","[]","控江路1628号(江浦路地铁站3号口旁)","121.516734","31.275112","121.51235887349205","31.277160816178885","021-65708888","上海市","上海市","杨浦区"
"B00155LBHD","名门休闲购物中心","购物服务;商场;购物中心","060101","[]","博山路230号","121.553127","31.24366","121.54886504007499","31.24581270304939","[]","上海市","上海市","浦东新区"
