"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV11494926","长兴岛(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)崇明线一期","121.721227","31.389270","121.71684567253926","31.391240404510345","[]","上海市","上海市","崇明区"
"BV11494927","凌空北路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)崇明线一期","121.672570","31.293605","121.66827340509474","31.29568694011741","[]","上海市","上海市","浦东新区"
"BV10854614","基隆路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","10号线","121.590411","31.351311","121.58619678039238","31.353463846314106","[]","上海市","上海市","浦东新区"
"BV10039847","航津路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","6号线","121.593974","31.335371","121.58976284671556","31.33753020203205","[]","上海市","上海市","浦东新区"
"BV11494928","高宝路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)崇明线一期","121.626466","31.291842","121.62224621669294","31.294000849695603","[]","上海市","上海市","浦东新区"
"BV10039849","港城路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","10号线;6号线","121.575017","31.353223","121.57078758556744","31.35536493942728","[]","上海市","上海市","浦东新区"
"BV10854617","高桥(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","10号线","121.562971","31.352622","121.55872150569398","31.354748787633703","[]","上海市","上海市","浦东新区"
"BV10039846","洲海路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","6号线","121.589396","31.312229","121.58518440820042","31.314395490150865","[]","上海市","上海市","浦东新区"
"BV10039923","申江路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)崇明线一期;12号线","121.626863","31.280231","121.6226437498941","31.28239413356759","[]","上海市","上海市","浦东新区"
"BV10039845","五洲大道(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","6号线","121.589212","31.302569","121.58500109195468","31.304739142298033","[]","上海市","上海市","浦东新区"
"BV10039924","金京路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","12号线","121.615477","31.279823","121.61126766435402","31.28199709915158","[]","上海市","上海市","浦东新区"
"BV10039925","杨高北路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)21号线;12号线","121.602960","31.280092","121.59875497639933","31.28227212959659","[]","上海市","上海市","浦东新区"
"BV10039844","东靖路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)21号线;6号线","121.588736","31.290684","121.58452576574403","31.29285867371579","[]","上海市","上海市","浦东新区"
"BV10039843","巨峰路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","12号线;6号线","121.588365","31.280684","121.58415534360047","31.282862605947045","[]","上海市","上海市","浦东新区"
