,name,pinyin,unit_2021,geometry,w_unit_2021,unit_2021_std,w_unit_2021_std,p-sim,sig,labels,unit_2021_lag,unit_2021_lag_std
0,白鹤镇板块,Baihe Town,10717,"POLYGON ((121.18872682992 31.22587956282296, 121.1780635817436 31.22145883354743, 121.1686037548824 31.21586037246021, 121.1656801796312 31.20947126846577, 121.1594016041481 31.21488854674342, 121.1487380566858 31.21413530783412, 121.1430631681994 31.21082420345376, 121.1403969167745 31.2195514831411, 121.1269865381 31.22041391797656, 121.1139260011479 31.22333500212978, 121.1001863016591 31.22684767010506, 121.0828532605086 31.22839354839128, 121.0794217465816 31.24365384422005, 121.0753051092335 31.25539267885147, 121.0708465074962 31.26507800026114, 121.0681031709055 31.27153456355411, 121.073589032762 31.27152845280606, 121.0807906818657 31.28061503350797, 121.0886816532394 31.28647714043695, 121.0921143701768 31.2797309302032, 121.094517288392 31.27826443079641, 121.102070833932 31.27650654880139, 121.106535377815 31.27768217566819, 121.1171851822298 31.28267694755178, 121.1230276935963 31.28356298711782, 121.1354049260995 31.27771266197459, 121.1505378498915 31.27920339054097, 121.1453794955271 31.26482149203456, 121.1618910020049 31.26661180329306, 121.1797810435224 31.2552054423351, 121.182190504152 31.2364321472149, 121.18872682992 31.22587956282296))",27200.125,-29447.58772,-12964.46272,0.105,0,Non-Significant,27200.125,-16546.77303
1,重固镇板块,Zhonggu Town,15867,"POLYGON ((121.1942347898467 31.17147611677275, 121.1976740991499 31.17001309597077, 121.1980184200782 31.16590291475099, 121.1904521023771 31.16486387199882, 121.1897639401118 31.16721177858547, 121.1839164917628 31.16588074821379, 121.1742812563102 31.2005048331529, 121.1631011821976 31.19769449655906, 121.1557050452898 31.19929466455179, 121.1550166251775 31.20472345792862, 121.1428058545912 31.20499590455499, 121.142977332225 31.21042599358692, 121.1472763945333 31.21336790806101, 121.1531238239765 31.21469883383033, 121.1551877482179 31.21484936498054, 121.1605197296245 31.21485950063716, 121.162067987121 31.21207440092936, 121.1656802921576 31.20944006372961, 121.1672281108521 31.21223128305793, 121.1680879063588 31.21516782759709, 121.179783615227 31.22252705451692, 121.1864911822949 31.22532680787258, 121.189414892274 31.22533169028703, 121.1914788148961 31.22225368330909, 121.1901044246355 31.20332129519662, 121.1944036169032 31.20406179205498, 121.1968119976907 31.19320468348223, 121.1902775322504 31.19055278156784, 121.1846024880288 31.18569967560769, 121.1839151509301 31.1792398168175, 121.1945786844605 31.17177023888082, 121.1942347898467 31.17147611677275))",25731.875,-24297.58772,-14432.71272,0.078,0,Non-Significant,25731.875,-18015.02303
2,半凇园路板块,BanSong Garden,6136,"POLYGON ((121.481105324119 31.20208881032036, 121.4832586061475 31.20282888578067, 121.4857134254575 31.20373494060063, 121.4875437545551 31.20506110160738, 121.4882543665748 31.20550343618356, 121.4903431535138 31.20703210051382, 121.4932287242928 31.20909500936591, 121.4951022353503 31.21020106400182, 121.4968249921554 31.21130665854225, 121.4985908421703 31.21219225324899, 121.4999690166224 31.2133151683937, 121.5014979160018 31.21464028135381, 121.5021869092934 31.21603631899462, 121.5032852231099 31.21592944087154, 121.5041681742174 31.21571189375827, 121.5038020944283 31.21556408539793, 121.5033929490061 31.21530610603066, 121.5033068178594 31.2152141412198, 121.5031345712113 31.2148651314432, 121.4993019139442 31.20795693627955, 121.4990650433505 31.20766274252725, 121.4988712133427 31.2077538962794, 121.4985266983633 31.20716588483046, 121.4972131738843 31.2054010264026, 121.4969547894343 31.20492332021547, 121.4949091144087 31.20234909696608, 121.4950598832567 31.2022027768254, 121.4947153405813 31.20177983237879, 121.4945215170973 31.2017792696878, 121.4934233206206 31.20032679534831, 121.4909684863119 31.19771455478348, 121.4910977077499 31.19753147048048, 121.4906239527073 31.19721821259084, 121.4905593361721 31.19738313463541, 121.490020980568 31.19706968852399, 121.4901717388825 31.19688666709644, 121.4886858701225 31.19613013429038, 121.4873507478673 31.19564924375371, 121.4869200614242 31.19557460399419, 121.4868769893929 31.19555612656746, 121.4868769817595 31.19564786254528, 121.4862523127898 31.19766412627668, 121.4863598160754 31.19968249669663, 121.4862735328266 31.20125996771227, 121.4854337118046 31.20107407024686, 121.4844647396167 31.20020900177983, 121.4837972295715 31.19965669028526, 121.4829358955872 31.19952575353651, 121.4824836714598 31.1996345133651, 121.4817945291985 31.20053144811736, 121.4814284032182 31.20122751984003, 121.481105324119 31.20208881032036))",79546.375,-34028.58772,39381.78728,0.001,1,LH,79546.375,35799.47697
3,豫园板块,Yuyuan,97846,"POLYGON ((121.4817388264657 31.21887496372386, 121.4810927142962 31.22006533388868, 121.480371225196 31.22146639923348, 121.4784118344326 31.22089213940509, 121.4772489118597 31.22308978699106, 121.4769688647254 31.22451960419955, 121.476624253463 31.22569244526764, 121.4757735853188 31.22771665627255, 121.4747615118002 31.22921766391622, 121.4739647766529 31.23048085602443, 121.4752995718985 31.23127330084833, 121.4775817290832 31.23250863169924, 121.47975639522 31.23313844558959, 121.4816297646953 31.23294213375531, 121.4826418214987 31.23300007386722, 121.4833523889076 31.23336891820996, 121.4863239838229 31.23451455196478, 121.4878313229879 31.23543587230528, 121.4902004022573 31.23333369674705, 121.4947448033921 31.22973385874522, 121.4969632192067 31.22761277887714, 121.4990093118708 31.22578461975434, 121.5000646804943 31.22455883028806, 121.5009908178074 31.22351605247556, 121.500969289669 31.22351599025274, 121.5010338983789 31.22346115302405, 121.5010985022169 31.22346134035205, 121.5012708159346 31.22315003629673, 121.5012062169918 31.22311316735091, 121.5012923654402 31.22304005086083, 121.5013354425748 31.22302183455171, 121.5014000589174 31.22289363210702, 121.5014431342845 31.22280205041349, 121.5016584801683 31.22291272014398, 121.5025200206894 31.22168633873069, 121.5031015867124 31.22055083608659, 121.5035754690252 31.21934164965015, 121.5034893383442 31.2192496943877, 121.5037047496517 31.21866337107391, 121.5037478298 31.21860847254725, 121.5038986257677 31.21804030334548, 121.5037048117324 31.21802140173278, 121.5036402345208 31.21776441917021, 121.5038125167299 31.21772823504487, 121.5038341239919 31.21699460325761, 121.5037695176107 31.21693939357611, 121.5037264612402 31.21684755327876, 121.5038126022485 31.21682946158951, 121.5038341559986 31.21666444408337, 121.5037049433539 31.21664572846714, 121.5037049503951 31.21657235392972, 121.5038341714804 31.21649936342765, 121.5037480630812 31.21616894461535, 121.5041141576594 31.21617000499739, 121.5042218689496 31.21569341799167, 121.5034681306918 31.21592969022958, 121.5020683227043 31.21612740098466, 121.499807078943 31.21626759996033, 121.4989671666613 31.2164852849189, 121.4974165445882 31.21699438584504, 121.4968781510382 31.21699282965783, 121.4953706204518 31.21719024609585, 121.4938631126144 31.2171675490432, 121.4934539200858 31.21734978830558, 121.493217037564 31.21718402275034, 121.492054134336 31.21697888650412, 121.491063492186 31.21704939681749, 121.4886515080802 31.21728086298962, 121.4870364144519 31.21690933931612, 121.4853567621228 31.21640922598395, 121.4843876904524 31.2167549220951, 121.4817388264657 31.21887496372386))",71470.75,57681.41228,31306.16228,0.005,1,HH,71470.75,27723.85197
4,人民广场板块,Renmin Square,12091,"POLYGON ((121.4585948168256 31.24303769573378, 121.4585087141251 31.24333088255997, 121.4587239133407 31.24340477379257, 121.4607899538514 31.24300665143439, 121.4626409429786 31.2421312986445, 121.4650086462163 31.24103737238007, 121.4661709669837 31.2412239267954, 121.4674194067306 31.24177749867481, 121.468667866757 31.24247780178518, 121.4695719431343 31.24306713707054, 121.4711219209762 31.24325487308717, 121.4724566969322 31.24300192389538, 121.4740068795286 31.24205278333236, 121.4754278647885 31.24198349463419, 121.4768488479378 31.24242769281346, 121.4778392303494 31.24294399675505, 121.4790018244524 31.2441209567546, 121.4802936476672 31.24533494932254, 121.4821453990959 31.2459270943761, 121.4838680935303 31.24574871465093, 121.4861507910774 31.24480177970492, 121.4870552664597 31.244511001399, 121.4870983689954 31.2442177209337, 121.4868399701494 31.2440702714085, 121.4869692187671 31.24359387367217, 121.4864955440856 31.24271228913896, 121.4864955947839 31.24219883631586, 121.4867113591179 31.23805501745334, 121.4874867537198 31.23666351533993, 121.4878314204531 31.23556417283185, 121.4866255523231 31.23479043635161, 121.4839553929373 31.23393910771183, 121.482232802019 31.23301715342267, 121.4799072264048 31.23326718130365, 121.4772373481444 31.23252590057289, 121.4717690219122 31.22939246634261, 121.468410834485 31.22784241588943, 121.4648807473833 31.22629208337428, 121.4647085323943 31.22651170496638, 121.4643210651346 31.22680411103443, 121.4631586547619 31.22823155908216, 121.4627711450376 31.22925759218313, 121.462426458016 31.2331080796169, 121.4614360883379 31.2370667405184, 121.4604889878384 31.23886146343136, 121.4585948168256 31.24303769573378))",93367.125,-28073.58772,53202.53728,0.001,1,LH,93367.125,49620.22697
5,堡镇,Bao Town,8671,"POLYGON ((121.7313038819132 31.62713887743967, 121.6558924284049 31.51610596753261, 121.6120083651474 31.52143514705048, 121.5329424268802 31.55881462111886, 121.5205432556792 31.56580166543884, 121.5556476625476 31.71378611795983, 121.6401154207516 31.66586106369296, 121.6839807489976 31.64122952598409, 121.7313038819132 31.62713887743967))",24917.625,-31493.58772,-15246.96272,0.06,0,Non-Significant,24917.625,-18829.27303
6,陈家镇,Chenjia Town,24200,"POLYGON ((121.7319904241987 31.62596909727764, 121.8805650160721 31.60742966703918, 121.915598327114 31.5816954540533, 121.9738571075305 31.53243569731832, 121.984811451977 31.51777168418099, 121.9841285503421 31.49787205426264, 121.9724924569114 31.4756598275744, 121.9300150832716 31.45818591738881, 121.8819535998958 31.44356328009718, 121.8310391692077 31.4399787147856, 121.7890501096023 31.46274550035352, 121.771165720481 31.47092193784344, 121.6586337232226 31.51668620024734, 121.7319904241987 31.62596909727764))",32341,-15964.58772,-7823.587719,0.248,0,Non-Significant,32341,-11405.89803
7,城桥镇,City Bridge Town,17459,"POLYGON ((121.5554328496023 31.71447419411518, 121.5375415506088 31.63846798371525, 121.5196391928904 31.567073505278, 121.430093860551 31.60720202544868, 121.3401821534748 31.65576397842082, 121.2338992470239 31.72659187276555, 121.15412003165 31.78486925800503, 121.2853487915289 31.87190154325143, 121.3909086367861 31.8250716833992, 121.4163254718599 31.78831119858944, 121.5554328496023 31.71447419411518))",26614.5,-22705.58772,-13550.08772,0.092,0,Non-Significant,26614.5,-17132.39803
8,长兴岛板块,Changxing Island,7220,"POLYGON ((121.8757728015947 31.36496278009713, 121.8874613078791 31.33976482459019, 121.8689013672168 31.29635682838465, 121.8393120260924 31.29690016854482, 121.7649916026817 31.31613770133251, 121.6915438101929 31.37480513613652, 121.5900477418301 31.42767554554476, 121.5081484030868 31.48082120821362, 121.5047015603156 31.49369124702007, 121.5150374450857 31.49781911550906, 121.5927904227828 31.48096938922371, 121.8757728015947 31.36496278009713))",48798.625,-32944.58772,8634.037281,0.209,0,Non-Significant,48798.625,5051.726974
9,北新泾板块,North Xinjing,43871,"POLYGON ((121.3538380854168 31.1851957754774, 121.3459784393968 31.18266323767288, 121.3451217780604 31.18402243604035, 121.3440083333051 31.183510514361, 121.3433658791235 31.18424552334951, 121.3402398227722 31.18289303868638, 121.3365572869373 31.18102796326572, 121.3362147873809 31.18022121504067, 121.3354439896125 31.18051620749952, 121.3357436815756 31.18099273366565, 121.3353581647428 31.18242465195555, 121.3342019539996 31.18294053681571, 121.3340305676471 31.18404176684815, 121.3325747126982 31.18378759320253, 121.33193168471 31.19131144019402, 121.3371983413062 31.19438409056528, 121.3363415337327 31.19838514429897, 121.3371977506644 31.20076858238986, 121.336554984226 31.20564956540663, 121.3364690766055 31.2086582225691, 121.3358693420489 31.21426680367395, 121.3371539905217 31.21415444734973, 121.3369826551255 31.21474173054854, 121.3374964114345 31.21591477500628, 121.3367256334312 31.21587946125105, 121.3366400710856 31.21481571673214, 121.3359977501638 31.2148535504132, 121.3360404993033 31.21577062876707, 121.3353125394209 31.21584530746569, 121.3351839276794 31.21760645522129, 121.3347985010155 31.21823079624232, 121.3356977309525 31.21822916917557, 121.3358261514956 31.21866915393723, 121.3363828094792 31.2188515808919, 121.3362114991076 31.2191820446867, 121.337324847163 31.21925343636069, 121.3373673048918 31.22376546093059, 121.3371530707532 31.2253065000352, 121.3402791350996 31.22467744171482, 121.34087861594 31.22515328373803, 121.3402790767713 31.22537440127769, 121.3381807555977 31.22570818900151, 121.3380522451222 31.2262219679295, 121.3380950384889 31.226625396989, 121.3381377113928 31.22842270358028, 121.3377949994298 31.23022066926672, 121.337837699802 31.23168778849004, 121.3392936435262 31.23172192057727, 121.3383085546672 31.23399776354789, 121.3369381436274 31.2357607575642, 121.3356535685366 31.23528624045294, 121.3348827053807 31.23675476116956, 121.3354821674702 31.2369003868081, 121.3356534377997 31.2370101074298, 121.3350967334248 31.23759796380879, 121.3340690967951 31.23712302638988, 121.3334267475826 31.23793111554788, 121.3342402988456 31.2382597106637, 121.3332553876907 31.23906841954986, 121.3349252328135 31.24056911000115, 121.3364666422517 31.24196001656979, 121.338950235876 31.242175667793, 121.3434038987129 31.24132451117624, 121.3459734748616 31.24091683632913, 121.3482434115601 31.24025300483539, 121.3495712740799 31.23874716013163, 121.3511562582464 31.23636065194547, 121.3550547983705 31.2304127396299, 121.3566400716701 31.22798947357728, 121.3598960795268 31.22809483355731, 121.3614385613657 31.22776254791991, 121.3617814757634 31.22640485809927, 121.3622528905888 31.22556053424292, 121.3635384185085 31.22511860392547, 121.3645240173812 31.224897189655, 121.366109629403 31.22456497999463, 121.3672239798606 31.22357313081095, 121.3684670394348 31.2218107985612, 121.3702242984736 31.22184535588049, 121.3717244491307 31.22243054195422, 121.3716177142279 31.2180836383556, 121.371532256568 31.21540573306021, 121.3717895574383 31.21423150110409, 121.3728613709796 31.21239599308214, 121.3756910016496 31.2095681247757, 121.3779205901961 31.20769491363987, 121.3797215882884 31.2060423658088, 121.3809224997459 31.20295950193775, 121.3822521290864 31.19961968859693, 121.3837104963991 31.19627976679922, 121.3816950081564 31.19521708618402, 121.3780075700128 31.19323869036672, 121.3753923873176 31.19228712238214, 121.3678913496956 31.18991033941388, 121.3597498727413 31.187462429234, 121.3538380854168 31.1851957754774))",48096,3706.412281,7931.412281,0.218,0,Non-Significant,48096,4349.101974
