Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,ditie,
0,?????,Baihe Town,10717,27200.125,-29447.58772,-12964.46272,0.105,0,Non-Significant,27200.125,-16546.77303,0,
1,?????,Zhonggu Town,15867,25731.875,-24297.58772,-14432.71272,0.078,0,Non-Significant,25731.875,-18015.02303,0,
2,??????,BanSong Garden,6136,79546.375,-34028.58772,39381.78728,0.001,1,LH,79546.375,35799.47697,1,
3,????,Yuyuan,97846,71470.75,57681.41228,31306.16228,0.005,1,HH,71470.75,27723.85197,8,0.321116247
4,??????,Renmin Square,12091,93367.125,-28073.58772,53202.53728,0.001,1,LH,93367.125,49620.22697,21,
5,??,Bao Town,8671,24917.625,-31493.58772,-15246.96272,0.06,0,Non-Significant,24917.625,-18829.27303,0,
6,???,Chenjia Town,24200,32341,-15964.58772,-7823.587719,0.248,0,Non-Significant,32341,-11405.89803,0,
7,???,City Bridge Town,17459,26614.5,-22705.58772,-13550.08772,0.092,0,Non-Significant,26614.5,-17132.39803,0,
8,?????,Changxing Island,7220,48798.625,-32944.58772,8634.037281,0.209,0,Non-Significant,48798.625,5051.726974,1,
9,?????,North Xinjing,43871,48096,3706.412281,7931.412281,0.218,0,Non-Significant,48096,4349.101974,12,
10,????,Jin Bridge,66534,55008,26369.41228,14843.41228,0.081,0,Non-Significant,55008,11261.10197,17,
11,????,Biyun,116350,53063.5,76185.41228,12898.91228,0.093,0,Non-Significant,53063.5,9316.601974,3,
12,?????,Dapu Qiao,34558,70723,-5606.587719,30558.41228,0.007,1,LH,70723,26976.10197,4,
13,????,Bin Jiang,73585,67765.125,33420.41228,27600.53728,0.009,1,HH,67765.125,24018.22697,2,
14,?????,Buye,92909,80078,52744.41228,39913.41228,0.001,1,HH,80078,36331.10197,25,
15,????,Caolu,25291,53604.875,-14873.58772,13440.28728,0.109,0,Non-Significant,53604.875,9857.976974,13,
16,????,Changfeng,79762,56236.5,39597.41228,16071.91228,0.071,0,Non-Significant,56236.5,12489.60197,10,
17,?????,Inner Pu tuo,96676,71211.125,56511.41228,31046.53728,0.005,1,HH,71211.125,27464.22697,12,
18,????,Changqiao,50694,51525.125,10529.41228,11360.53728,0.137,0,Non-Significant,51525.125,7778.226974,16,
19,????,Changzheng,47284,41129.75,7119.412281,965.1622807,0.429,0,Non-Significant,41129.75,-2617.148026,6,
20,????,Chuansha,22284,28236.25,-17880.58772,-11928.33772,0.132,0,Non-Significant,28236.25,-15510.64803,17,
21,????,Liuzao,0,27800.375,-40164.58772,-12364.21272,0.114,0,Non-Significant,27800.375,-15946.52303,0,
22,????,Chunshen,26474,45561.375,-13690.58772,5396.787281,0.286,0,Non-Significant,45561.375,1814.476974,27,
23,????????,Melong,21191,40635.125,-18973.58772,470.5372807,0.461,0,Non-Significant,40635.125,-3111.773026,1,
24,????,Dahua,15959,53716.75,-24205.58772,13552.16228,0.104,0,Non-Significant,53716.75,9969.851974,2,
25,????,Daning,58149,63000.5,17984.41228,22835.91228,0.025,1,HH,63000.5,19253.60197,4,
26,???????????????,Dasanlin,72946,48485.375,32781.41228,8320.787281,0.208,0,Non-Significant,48485.375,4738.476974,55,
