unit_2021,labels,ditie
"10717",Non-Significant,0
"15867",Non-Significant,0
"6136",LH,1
"97846",HH,8
"12091",LH,21
"8671",Non-Significant,0
"24200",Non-Significant,0
"17459",Non-Significant,0
"7220",Non-Significant,1
"43871",Non-Significant,12
"66534",Non-Significant,17
"116350",Non-Significant,3
"34558",LH,4
"73585",HH,2
"92909",HH,25
"25291",Non-Significant,13
"79762",Non-Significant,10
"96676",HH,12
"50694",Non-Significant,16
"47284",Non-Significant,6
"22284",Non-Significant,17
"0",Non-Significant,0
"26474",Non-Significant,27
"21191",Non-Significant,1
"15959",Non-Significant,2
"58149",HH,4
"72946",Non-Significant,55
"0",LH,0
"44991",HH,6
"39512",Non-Significant,2
"51953",HH,21
"43090",Non-Significant,0
"0",LL,0
"12584",LL,0
"13555",LL,0
"0",LL,0
"16283",LL,0
"19484",LL,0
"23546",LL,0
"41309",HH,16
"58949",Non-Significant,12
"8742",LH,11
"40493",Non-Significant,13
"51118",Non-Significant,32
"21426",Non-Significant,0
"155534",HH,7
"46514",HH,4
"108543",HH,5
"18903",LL,3
"23759",LL,2
"2663",LL,1
"23518",Non-Significant,17
"34044",Non-Significant,1
"28810",Non-Significant,0
"11322",Non-Significant,18
"31021",Non-Significant,33
"77934",Non-Significant,17
"22131",LL,0
"22152",LL,5
"16573",LL,0
"31284",Non-Significant,1
"18793",LL,0
"97812",HH,3
"64403",HH,35
"11887",Non-Significant,5
"80522",Non-Significant,8
"49902",HH,8
"79767",HH,23
"92025",HH,13
"74476",HH,9
"25789",Non-Significant,4
"38648",Non-Significant,1
"95779",HH,14
"64164",HH,62
"96256",Non-Significant,17
"24171",Non-Significant,6
"55853",Non-Significant,3
"23027",Non-Significant,15
"35465",Non-Significant,5
"35255",Non-Significant,22
"22289",Non-Significant,3
"0",LH,0
"20525",LH,6
"17172",Non-Significant,0
"86301",HH,25
"123361",HH,4
"16922",Non-Significant,2
"20850",LL,5
"32601",Non-Significant,10
"39876",LH,11
"34159",Non-Significant,15
"31548",Non-Significant,9
"27884",LL,6
"14936",Non-Significant,13
"72544",Non-Significant,4
"23285",Non-Significant,6
"9106",Non-Significant,0
"89677",HH,19
"2881",Non-Significant,0
"23979",Non-Significant,30
"32568",Non-Significant,2
"50717",Non-Significant,21
"8436",LL,0
"21537",LL,0
"65744",HH,20
"51920",Non-Significant,4
"42973",HH,5
"47907",Non-Significant,3
"39584",Non-Significant,40
"33571",LL,4
"23715",LL,4
