Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,NUMPOINTS
"0",?????,Baihe Town,"10717",27200.125000000000000,-29447.587719999999536,-12964.462719999999536,0.105000000000000,"0",Non-Significant,27200.125000000000000,-16546.773030000000290,0
"1",?????,Zhonggu Town,"15867",25731.875000000000000,-24297.587719999999536,-14432.712719999999536,0.078000000000000,"0",Non-Significant,25731.875000000000000,-18015.023030000000290,2
"2",??????,BanSong Garden,"6136",79546.375000000000000,-34028.587720000003173,39381.787279999996827,0.001000000000000,"1",LH,79546.375000000000000,35799.476970000003348,1
"3",????,Yuyuan,"97846",71470.750000000000000,57681.412279999996827,31306.162280000000464,0.005000000000000,"1",HH,71470.750000000000000,27723.851969999999710,0
"4",??????,Renmin Square,"12091",93367.125000000000000,-28073.587719999999536,53202.537279999996827,0.001000000000000,"1",LH,93367.125000000000000,49620.226970000010624,1
"5",??,Bao Town,"8671",24917.625000000000000,-31493.587719999999536,-15246.962719999999536,0.060000000000000,"0",Non-Significant,24917.625000000000000,-18829.273030000000290,5
"6",???,Chenjia Town,"24200",32341.000000000000000,-15964.587719999999536,-7823.587719000000106,0.248000000000000,"0",Non-Significant,32341.000000000000000,-11405.898030000000290,6
"7",???,City Bridge Town,"17459",26614.500000000000000,-22705.587719999999536,-13550.087719999999536,0.092000000000000,"0",Non-Significant,26614.500000000000000,-17132.398030000000290,6
"8",?????,Changxing Island,"7220",48798.624999999992724,-32944.587720000003173,8634.037281000000803,0.209000000000000,"0",Non-Significant,48798.624999999992724,5051.726974000000155,9
"9",?????,North Xinjing,"43871",48096.000000000000000,3706.412280999999894,7931.412280999999894,0.218000000000000,"0",Non-Significant,48096.000000000000000,4349.101974000000155,1
"10",????,Jin Bridge,"66534",55008.000000000000000,26369.412280000000464,14843.412280000000464,0.081000000000000,"0",Non-Significant,55008.000000000000000,11261.101969999999710,16
"11",????,Biyun,"116350",53063.500000000000000,76185.412280000004102,12898.912280000000464,0.093000000000000,"0",Non-Significant,53063.500000000000000,9316.601973999999245,1
"12",?????,Dapu Qiao,"34558",70723.000000000000000,-5606.587719000000106,30558.412280000000464,0.007000000000000,"1",LH,70723.000000000000000,26976.101969999999710,0
"13",????,Bin Jiang,"73585",67765.125000000000000,33420.412279999996827,27600.537280000000464,0.009000000000000,"1",HH,67765.125000000000000,24018.226969999999710,0
